Iteración,i,j,"Valor de u[i, j]",Error
1,1,1,5.375,5.375
1,1,2,3.796875,3.796875
1,1,3,5.099609375,5.099609375
1,2,1,2.921875,2.921875
1,2,2,0.83984375,0.83984375
1,2,3,2.242431640625,2.242431640625
1,3,1,2.240234375,2.240234375
1,3,2,0.010009765625,0.010009765625
1,3,3,1.40655517578125,1.40655517578125

2,1,1,6.21484375,0.83984375
2,1,2,4.644287109375,0.847412109375
2,1,3,5.48583984375,0.38623046875
2,2,1,3.411865234375,0.489990234375
2,2,2,1.28857421875,0.44873046875
2,2,3,2.5226211547851562,0.28018951416015625
2,3,1,2.302734375,0.0625
2,3,2,0.24973297119140625,0.23972320556640625
2,3,3,1.4715442657470703,0.06498908996582031

3,1,1,6.38201904296875,0.16717529296875
3,1,2,4.769554138183594,0.12526702880859375
3,1,3,5.536521911621094,0.05068206787109375
3,2,1,3.4966659545898438,0.08480072021484375
3,2,2,1.37982177734375,0.09124755859375
3,2,3,2.5484859943389893,0.025864839553833008
3,3,1,2.3432998657226562,0.04056549072265625
3,3,2,0.27433323860168457,0.02460026741027832
3,3,3,1.4778524041175842,0.006308138370513916

4,1,1,6.40827751159668,0.026258468627929688
4,1,2,4.79057765007019,0.02102351188659668
4,1,3,5.5423829555511475,0.005861043930053711
4,2,1,3.5164248943328857,0.019758939743041992
4,2,2,1.3912277221679688,0.01140594482421875
4,2,3,2.5514328852295876,0.002946890890598297
4,3,1,2.3488447666168213,0.005544900894165039
4,3,2,0.2772406116127968,0.002907373011112213
4,3,3,1.478584187105298,0.0007317829877138138

5,1,1,6.4133753180503845,0.005097806453704834
5,1,2,4.793373249471188,0.002795599400997162
5,1,3,5.543100766837597,0.0007178112864494324
5,2,1,3.519180975854397,0.002756081521511078
5,2,2,1.392653465270996,0.0014257431030273438
5,2,3,2.5517923024017364,0.00035941717214882374
5,3,1,2.349552698433399,0.0007079318165779114
5,3,2,0.27759879385121167,0.0003581822384148836
5,3,3,1.4786738870316185,8.969992632046342e-05

6,1,1,6.414069278165698,0.00069396011531353
6,1,2,4.793727938784286,0.00035468931309878826
6,1,3,5.543190030148253,8.92633106559515e-05
6,2,1,3.5195344302337617,0.00035345437936484814
6,2,2,1.3928316831588745,0.00017821788787841797
6,2,3,2.5518369500423432,4.464764060685411e-05
6,3,1,2.3496416530106217,8.895457722246647e-05
6,3,2,0.27764340290013934,4.460904892766848e-05
6,3,3,1.4786850441178103,1.1157086191815324e-05

7,1,1,6.414157796127256,8.851796155795455e-05
7,1,2,4.793772438679298,4.44998950115405e-05
7,1,3,5.543201173590205,1.1143441952299327e-05
7,2,1,3.519578891537094,4.4461303332354873e-05
7,2,2,1.3928539603948593,2.2277235984802246e-05
7,2,3,2.5518425222628593,5.572220516114612e-06
7,3,1,2.349652786804654,1.113379403250292e-05
7,3,2,0.2776489739146655,5.571014526140061e-06
7,3,3,1.4786864370221906,1.3929043802818342e-06

8,1,1,6.414168916277049,1.1120149792986922e-05
8,1,2,4.793778006282764,5.567603466261062e-06
8,1,3,5.543202566068203,1.3924779977969592e-06
8,2,1,3.5195844579345703,5.566397476286511e-06
8,2,2,1.3928567450493574,2.7846544981002808e-06
8,2,3,2.551843218517469,6.962546095223843e-07
8,3,1,2.3496541789811545,1.3921765003033215e-06
8,3,2,0.2776496701315878,6.962169223356796e-07
8,3,3,1.478686611081132,1.7405894148225798e-07

9,1,1,6.414170308027167,1.3917501178184466e-06
9,1,2,4.793778702393091,6.961103267144608e-07
9,1,3,5.54320274011382,1.7404561702960564e-07
9,2,1,3.51958515400721,6.960726395277561e-07
9,2,2,1.3928570931311697,3.480818122625351e-07
9,2,3,2.551843305540765,8.702329612475523e-08
9,3,1,2.3496543530173497,1.7403619523292946e-07
9,3,2,0.27764975715370643,8.702211862221532e-08
9,3,3,1.478686632836809,2.1755676815615743e-08
